_id,user_community,tweet_community,ecommerce_community,blog_community,label
5d6370584285a7c3317d4d44,0,-2,-1,-2,-1
5d63707a4285a7c3317d54b3,3,-2,-1,-2,-1
5d6370b84285a7c3317d5862,0,0,98,-2,-1
5d6370be4285a7c3317d5949,0,-1,58,-2,-1
5d6370ca4285a7c3317d5979,16,0,186,-1,-1
5d6370d14285a7c3317d5b36,39,-1,2,-2,-1
5d6370dd4285a7c3317d5c58,2,0,131,-1,-1
5d648f8c7d7dbe4bc487e3ab,13,-2,-1,-2,-1
5d648f8c7d7dbe4bc487e428,13,-2,-1,-2,-1
5d648f8c7d7dbe4bc487e45e,22,-2,-1,-2,-1
5d648f8c7d7dbe4bc487e4b2,13,-2,-1,-2,-1
5d648f8c7d7dbe4bc487e4e5,13,-2,-1,-2,-1
5d648f8d7d7dbe4bc487e5d4,13,-2,37,5,-1
5d648f8d7d7dbe4bc487e60d,28,0,71,51,-1
5d648f8d7d7dbe4bc487e61e,31,-2,-1,-2,-1
5d648f8d7d7dbe4bc487e646,9,-2,-1,-2,-1
5d648f8d7d7dbe4bc487e6ec,25,-2,-1,-2,-1
5d648f8d7d7dbe4bc487e6ed,12,-2,-1,-2,-1
5d648f8d7d7dbe4bc487e702,12,-2,130,-1,-1
5d648f8d7d7dbe4bc487e732,15,0,112,-2,-1
5d648f8d7d7dbe4bc487e739,20,25,-1,-2,-1
5d648f8d7d7dbe4bc487e85f,9,0,30,-1,-1
5d648f8e7d7dbe4bc487ea20,0,-2,-1,-2,-1
5d648f8e7d7dbe4bc487ea27,25,-2,163,1,-1
5d648f8e7d7dbe4bc487ea32,0,-2,-1,-2,-1
5d648f8e7d7dbe4bc487ea9d,55,16,-1,-2,-1
5d648f8e7d7dbe4bc487eab2,15,-2,-1,-2,-1
5d648f8e7d7dbe4bc487eaba,11,-2,-1,-2,-1
5d648f8e7d7dbe4bc487ead6,0,0,-1,-2,-1
5d648f8e7d7dbe4bc487eaf9,29,-2,-1,-2,-1
5d648f8f7d7dbe4bc487eb26,4,-2,-1,-2,-1
5d648f8f7d7dbe4bc487eb2f,11,-2,-1,-2,-1
5d648f8f7d7dbe4bc487ebe8,10,-2,-1,-2,-1
5d648f8f7d7dbe4bc487ebec,13,-2,-1,-2,-1
5d648f8f7d7dbe4bc487ebf2,15,-2,-1,-2,-1
5d648f8f7d7dbe4bc487ecef,13,-2,-1,-2,-1
5d6371344285a7c3317d6375,0,-1,157,-2,-1
5d6371324285a7c3317d6373,0,0,-1,-2,-1
5d6371434285a7c3317d642e,0,-1,30,-1,-1
5d6371504285a7c3317d64de,0,-2,-1,5,-1
5d63719f4285a7c3317d68c0,0,-2,-1,-2,-1
5d6371e74285a7c3317d6d0b,30,33,-1,-2,-1
5d6371f44285a7c3317d6d69,29,0,15,70,-1
5d6371f14285a7c3317d6d60,0,-2,176,8,-1
5d63720f4285a7c3317d6e1f,0,0,96,5,-1
5d63720b4285a7c3317d6e0e,0,-2,-1,-2,-1
5d6372394285a7c3317d701e,0,-1,90,-1,-1
5d6372474285a7c3317d7054,40,0,-1,-2,-1
5d63727a4285a7c3317d7226,0,-2,-1,-2,-1
5d6372894285a7c3317d7239,0,-2,-1,-2,-1
5d63729f4285a7c3317d7265,0,0,41,-1,-1
5d6372a44285a7c3317d7297,0,-2,-1,-2,-1
5d6372ac4285a7c3317d729d,0,-2,-1,-2,-1
5d6372bb4285a7c3317d72f1,0,-2,-1,-2,-1
5d6372cc4285a7c3317d7312,0,-2,-1,-2,-1
5d6372dd4285a7c3317d735a,0,-2,-1,-2,-1
5d63734b4285a7c3317d7c9e,0,0,92,1,-1
5d6373664285a7c3317d8160,0,-2,-1,-2,-1
5d6373894285a7c3317d8523,0,-1,69,-1,-1
5d6373984285a7c3317d857d,15,-2,133,5,-1
5d6373a24285a7c3317d86aa,0,0,87,-1,-1
5d6373db4285a7c3317d8ea0,0,-2,-1,-2,-1
5d6373eb4285a7c3317d8ee5,0,0,-1,-2,-1
5d6373f04285a7c3317d8f69,0,-2,-1,-2,-1
5d648f907d7dbe4bc487eded,4,0,112,5,-1
5d648f8f7d7dbe4bc487edae,20,-1,126,-1,-1
5d648f907d7dbe4bc487ee3e,13,-1,161,-2,-1
5d648f907d7dbe4bc487ee4a,4,-1,-1,-2,-1
5d648f907d7dbe4bc487ee5a,4,-2,-1,-2,-1
5d648f907d7dbe4bc487eeb5,13,-2,-1,-2,-1
5d648f907d7dbe4bc487eec0,0,-2,-1,5,-1
5d648f907d7dbe4bc487efc9,0,-2,143,54,-1
5d648f917d7dbe4bc487f007,4,-1,64,9,-1
5d648f927d7dbe4bc487f37d,13,-1,140,1,-1
5d648f927d7dbe4bc487f3d4,13,-2,-1,-2,-1
5d648f937d7dbe4bc487f77d,29,-2,-1,-2,-1
5d648f937d7dbe4bc487f7c2,25,-1,66,-1,-1
5d648f937d7dbe4bc487f7db,6,-2,-1,-2,-1
5d648f937d7dbe4bc487f810,0,-2,-1,-2,-1
5d648f937d7dbe4bc487f829,39,-2,-1,-2,-1
5d648f947d7dbe4bc487f91b,4,-2,-1,-2,-1
5d648f947d7dbe4bc487f926,13,-2,-1,-2,-1
5d648f947d7dbe4bc487f938,11,-2,-1,-2,-1
5d648f947d7dbe4bc487f931,13,0,-1,-2,-1
5d648f947d7dbe4bc487f96d,20,-2,-1,-2,-1
5d648f957d7dbe4bc487fc09,8,-2,-1,-2,-1
5d648f957d7dbe4bc487fd36,13,-2,-1,-2,-1
5d648f957d7dbe4bc487fd86,11,-2,-1,-2,-1
5d648f967d7dbe4bc487fe41,20,-2,-1,-2,-1
5d648f967d7dbe4bc487fe47,0,-2,0,-1,-1
5d648f967d7dbe4bc487fe6f,4,-2,-1,-2,-1
5d648f967d7dbe4bc487fecc,26,0,-1,-2,-1
5d648f967d7dbe4bc487ff0d,4,-2,-1,-2,-1
5d648f967d7dbe4bc487ff0e,4,-2,-1,-2,-1
5d6374194285a7c3317d9540,15,-1,84,-2,-1
5d6374604285a7c3317d9fa7,26,-2,-1,-2,-1
5d6374ce4285a7c3317dd5c0,11,0,63,-2,-1
5d6374db4285a7c3317ddddf,0,-1,78,-1,-1
5d6374f74285a7c3317de4d7,26,-2,-1,-2,-1
5d6374fe4285a7c3317de5e5,29,0,-1,-2,-1
